Material,id,particle_size_micro,dcoeff_cm2s
Ternarios,0,10,7.8e-11
Ternarios,1,8,1.7e-11 to 6.5e-9
Ternarios,2,2-5,1e-11 to 3e-11
LCO,0,5-10,1e-11 to 1e-7
LCO,1,,1e-10 to 1.5e-9
LCO,2,0.5,1e-10 to 1e-8
LCO,3,1-5,4e-11 to 1.7e-10
LCO,4,0.1,1.34e-11
LMO,0,0.2,9.04e-11
LMO,1,,1.5e-12
LMO,2,0.3,2.97e-12
LMO,3,2-5,1.57e-7
LMO,4,10,1e-9 to 1e-7
LFP,0,0.1,1.07e-12
LFP,1,0.2,1.3e-14 to 1.7e-14
LFP,2,0.2-0.5,1.11e-12 to 6.86e-11
LFP,3,0.2-0.4,7.86e-15 to 1.24e-14
LFP,4,0.05-0.35,1.25e-14 to 1.06e-13
LFP,5,0.1-0.5,1.13e-12 to 1.83e-11
LFP,6,0.8,6.48e-17 to 1.29e-14
LTO,0,0.45,1e-12 to 1.6e-11
LTO,1,,2e-13 to 1.1e-12
LTO,2,0.2,1.03e-13
LTO,3,1-5,5.12e-14
LTO,4,0.09,1.04e-13
LTO,5,,1e-12 to 1e-10
Grafito,0,,1.0e-11
Grafito,1,15,1.06e-10 to 1.93e-10
Grafito,2,10,1.1e-10 to 2.0e-9
Grafito,3,,7.6e-11
Grafito,4,,4.4e-6
Grafito,5,1-100,1e-9 to 1e-5
