year,cost
2016.1,28265.6
2016.2,28265.6
2016.3,28295.3
2016.4,28295.3
2016.5,28295.3
2016.6,28325.1
2016.7,28325.1
2016.8,28325.1
2016.9,28354.9
2017.0,28384.7
2017.1,28384.7
2017.2,28414.5
2017.3,28414.5
2017.4,28444.2
2017.5,28444.2
2017.6,28444.2
2017.7,28474.0
2017.8,28474.0
2017.9,28503.8
2018.0,28503.8
2018.1,28503.8
2018.2,28503.8
2018.3,28503.8
2018.4,28503.8
2018.5,28503.8
2018.6,28503.8
2018.7,28503.8
2018.8,28503.8
2018.9,28503.8
2019.0,28503.8
2019.1,28533.6
2019.2,28563.3
2019.3,28563.3
2019.4,28563.3
2019.5,28593.1
2019.6,28593.1
2019.7,28593.1
2019.8,28622.9
2019.9,28622.9
2020.0,28652.7
2020.1,28682.4
2020.2,28682.4
2020.3,28712.2
2020.4,28712.2
2020.5,28712.2
2020.6,28712.2
2020.7,28742.0
2020.8,28742.0
2020.9,28771.8
2021.0,28801.6
2021.1,28801.6
2021.2,28831.3
2021.3,28831.3
2021.4,28831.3
2021.5,28861.1
2021.6,28861.1
2021.7,28861.1
2021.8,28890.9
2021.9,28890.9
2022.0,28920.7
2022.1,28950.4
2022.2,28950.4
2022.3,28980.2
2022.4,28980.2
2022.5,28980.2
2022.6,29010.0
2022.7,29010.0
2022.8,29010.0
2022.9,29039.8
2023.0,29039.8
2023.1,29069.5
2023.2,29099.3
2023.3,29099.3
2023.4,29129.1
2023.5,29129.1
2023.6,29129.1
2023.7,29129.1
2023.8,29158.9
2023.9,29158.9
2024.0,29188.6
2024.1,29218.4
2024.2,29218.4
2025.9,29477.7
2026.0,29477.7
2026.1,29486.4
2026.2,29516.2
2026.3,29516.2
2026.4,29546.0
2026.5,29546.0
2026.6,29546.0
2026.7,29546.0
2026.8,29575.7
2026.9,29575.7
2027.0,29605.5
2027.1,29635.3
2027.2,29635.3
2027.3,29665.1
2027.4,29665.1
2027.5,29665.1
2027.6,29665.1
2027.7,29694.8
2027.8,29694.8
2027.9,29694.8
2028.0,29754.4
2028.1,29754.4
2028.2,29784.2
2028.3,29784.2
2028.4,29784.2
2028.5,29784.2
2028.6,29814.0
2028.7,29814.0
2028.8,29843.7
2028.9,29843.7
2029.0,29873.5
2029.1,29903.3
2029.2,29903.3
2029.3,29933.1
2029.4,29933.1
2029.5,29933.1
2029.6,29962.8
2029.7,29962.8
2029.8,29962.8
2029.9,29992.6
2030.0,29992.6
