year,cost
2016.1,43302.7
2016.2,43034.7
2016.3,42766.8
2016.4,42498.8
2016.5,42230.8
2016.6,41962.8
2016.7,41694.8
2016.8,41426.8
2016.9,41158.8
2017.0,40861.1
2017.1,40622.8
2017.2,40384.6
2017.3,40146.4
2017.4,39967.8
2017.5,39729.5
2017.6,39491.3
2017.7,39253.1
2017.8,39014.9
2017.9,38776.7
2018.0,38598.0
2018.1,38359.8
2018.2,38181.2
2018.3,38002.5
2018.4,37823.8
2018.5,37645.2
2018.6,37407.0
2018.7,37228.3
2018.8,37049.7
2018.9,36871.0
2019.0,36662.6
2019.1,36454.1
2019.2,36335.0
2019.3,36156.4
2019.4,35947.9
2019.5,35799.0
2019.6,35620.4
2019.7,35441.7
2019.8,35233.3
2019.9,35084.4
2020.0,34905.7
2020.1,34786.6
2020.2,34637.8
2020.3,34488.9
2020.4,34369.8
2020.5,34250.7
2020.6,34072.0
2020.7,33952.9
2020.8,33833.8
2020.9,33655.1
2021.0,33536.0
2021.1,33416.9
2021.2,33297.8
2021.3,33178.7
2021.4,33059.6
2021.5,32940.5
2021.6,32821.4
2021.7,32642.7
2021.8,32523.6
2021.9,32434.3
2022.0,32285.4
2022.1,32225.9
2022.2,32106.7
2022.3,31987.6
2022.4,31868.5
2022.5,31749.4
2022.6,31689.9
2022.7,31570.8
2022.8,31451.7
2022.9,31332.6
2023.0,31213.5
2023.1,31153.9
2023.2,31034.8
2023.3,30915.7
2023.4,30856.1
2023.5,30737.0
2023.6,30647.7
2023.7,30558.4
2023.8,30498.8
2023.9,30379.7
2024.0,30260.6
2024.1,30201.0
2024.2,30081.9
2024.3,29962.8
2024.4,29903.3
2024.5,29784.2
2024.6,29665.1
2024.7,29605.5
2024.8,29546.0
2024.9,29397.1
2025.0,29337.5
2025.1,29278.0
2025.2,29188.6
2025.3,29129.1
2025.4,29069.5
2025.5,29010.0
2025.6,28950.4
2025.7,28861.1
2025.8,28771.8
2025.9,28712.2
2026.0,28652.7
2026.1,28593.1
2026.2,28474.0
2026.3,28414.5
2026.4,28295.3
2026.5,28235.8
2026.6,28176.2
2026.7,28057.1
2026.8,27997.6
2026.9,27938.0
2027.0,27818.9
2027.1,27759.4
2027.2,27759.4
2027.3,27640.3
2027.4,27640.3
2027.5,27580.7
2027.6,27521.2
2027.7,27461.6
2027.8,27402.1
2027.9,27342.5
2028.0,27282.9
2028.1,27223.4
2028.2,27193.6
2028.3,27104.3
2028.4,27104.3
2028.5,27044.7
2028.6,26985.2
2028.7,26925.6
2028.8,26866.1
2028.9,26806.5
2029.0,26747.0
2029.1,26687.4
2029.2,26627.9
2029.3,26568.3
2029.4,26568.3
2029.5,26479.0
2029.6,26419.4
2029.7,26389.6
2029.8,26330.1
2029.9,26270.5
2030.0,26211.0
