x,v
0.02221,0.43303
0.04969,0.43278
0.07716,0.43246
0.10464,0.43185
0.13211,0.43129
0.15959,0.43070
0.18707,0.43036
0.21454,0.42970
0.24202,0.42900
0.26949,0.42811
0.29697,0.42706
0.32444,0.42611
0.35192,0.42509
0.37940,0.42414
0.40687,0.42318
0.43435,0.42232
0.46182,0.42158
0.48930,0.42084
0.51678,0.42016
0.54425,0.41939
0.57173,0.41871
0.59920,0.41791
0.62668,0.41714
0.65416,0.41646
0.68163,0.41587
0.70911,0.41537
0.73658,0.41482
0.76406,0.41417
0.79154,0.41355
0.81901,0.41272
0.84649,0.41189
0.87396,0.41056
0.90144,0.40890
0.92891,0.40703
0.95639,0.40473
0.98387,0.40215
1.01134,0.39927
1.03882,0.39595
1.06629,0.39230
1.09377,0.38847
1.12125,0.38433
1.14872,0.38000
1.17620,0.37525
1.20367,0.37062
1.23115,0.36593
1.25863,0.36111
1.28610,0.35621
1.31358,0.35139
1.34105,0.34642
1.36853,0.34152
1.39601,0.33676
1.42348,0.33201
1.45096,0.32726
1.47843,0.32250
1.50591,0.31781
1.53338,0.31300
1.56086,0.30840
1.58834,0.30389
1.61581,0.29920
1.64329,0.29448
1.66993,0.29028
1.69824,0.28570
1.72572,0.28113
1.75319,0.27675
1.78067,0.27227
1.80814,0.26798
1.83562,0.26365
1.86310,0.25954
1.89057,0.25531
1.91805,0.25102
1.94552,0.24666
1.97300,0.24234
2.00048,0.23792
2.02795,0.23341
2.05543,0.22897
2.08290,0.22458
2.11038,0.22020
2.13785,0.21572
2.16533,0.21145
2.19281,0.20679
2.22028,0.20271
2.24776,0.19864
2.27523,0.19465
2.30271,0.19094
2.33019,0.18756
2.35766,0.18437
2.38514,0.18139
2.41261,0.17866
2.44009,0.17618
2.46757,0.17375
2.49504,0.17139
2.52252,0.16921
2.54999,0.16684
2.57747,0.16457
2.60495,0.16242
2.63242,0.16036
2.65990,0.15815
2.68765,0.15601
2.71485,0.15306
2.74232,0.15094
2.76980,0.14848
2.79728,0.14584
2.82475,0.14299
2.85223,0.14023
2.87970,0.13734
2.90718,0.13443
2.93466,0.13148
2.96213,0.12835
2.98961,0.12519
3.01708,0.12197
3.04456,0.11866
3.07204,0.11550
3.09951,0.11212
3.12699,0.10887
3.15446,0.10568
3.18194,0.10240
3.20942,0.09930
3.23689,0.09626
3.26437,0.09313
3.29184,0.09031
3.31932,0.08736
3.34679,0.08481
3.37427,0.08220
3.40175,0.07962
3.42922,0.07726
3.45670,0.07511
3.48417,0.07308
3.51165,0.07115
3.53913,0.06931
3.56660,0.06749
3.59408,0.06626
3.62155,0.06497
3.64903,0.06371
3.67651,0.06242
3.70398,0.06131
3.73146,0.06039
3.75893,0.05958
3.78791,0.05901
3.81389,0.05856
3.84136,0.05850
3.86884,0.05819
3.89631,0.05812
3.92379,0.05784
3.95126,0.05783
3.97874,0.05774
3.99498,0.05749
