x,v
0.04594,0.79594
0.04933,0.78750
0.05004,0.77845
0.05218,0.77150
0.05254,0.76348
0.05593,0.75539
0.05504,0.74764
0.05843,0.73944
0.05843,0.73203
0.06106,0.72229
0.06412,0.71095
0.06681,0.70133
0.06904,0.69162
0.07092,0.68272
0.07328,0.67280
0.07716,0.66302
0.07872,0.65359
0.08216,0.64386
0.08266,0.63509
0.08632,0.62594
0.09090,0.61774
0.09340,0.60965
0.09714,0.60231
0.10058,0.59322
0.10651,0.58337
0.10901,0.57393
0.11388,0.56386
0.11935,0.55343
0.12662,0.54236
0.13149,0.53227
0.13648,0.52368
0.14148,0.51563
0.14710,0.50791
0.15245,0.49972
0.15834,0.49255
0.16427,0.48429
0.17158,0.47455
0.17957,0.46488
0.18707,0.45626
0.19556,0.44736
0.20288,0.43870
0.21079,0.43159
0.22096,0.42356
0.23175,0.41462
0.24202,0.40564
0.25201,0.39797
0.26200,0.39077
0.27324,0.38325
0.28573,0.37526
0.29947,0.36718
0.31445,0.35923
0.33069,0.35161
0.35137,0.34380
0.37315,0.33574
0.39438,0.32841
0.41811,0.32102
0.44434,0.31369
0.47182,0.30677
0.49929,0.30033
0.52677,0.29444
0.55424,0.28889
0.58172,0.28380
0.60920,0.27899
0.63667,0.27439
0.66415,0.27016
0.69162,0.26608
0.71910,0.26218
0.74657,0.25841
0.77405,0.25488
0.80153,0.25138
0.82900,0.24807
0.85648,0.24482
0.88395,0.24159
0.91143,0.23847
0.93891,0.23543
0.96638,0.23239
0.99386,0.22944
1.02133,0.22656
1.04881,0.22371
1.07629,0.22091
1.10376,0.21815
1.13124,0.21542
1.15871,0.21266
1.18619,0.20989
1.21367,0.20725
1.24114,0.20471
1.26862,0.20213
1.29609,0.19952
1.32357,0.19700
1.35104,0.19439
1.37852,0.19188
1.40600,0.18939
1.43347,0.18690
1.46095,0.18451
1.48842,0.18205
1.51590,0.17954
1.54338,0.17674
1.57085,0.17410
1.59833,0.17159
1.62580,0.16889
1.65328,0.16619
1.68076,0.16345
1.70823,0.16069
1.73571,0.15765
1.76318,0.15474
1.79066,0.15173
1.81814,0.14866
1.84561,0.14560
1.87309,0.14253
1.90056,0.13931
1.92804,0.13621
1.95551,0.13314
1.98299,0.12998
2.01047,0.12682
2.03794,0.12372
2.06542,0.12074
2.09289,0.11770
2.12037,0.11473
2.14785,0.11181
2.17532,0.10887
2.20280,0.10601
2.23027,0.10316
2.25775,0.10030
2.28523,0.09757
2.31270,0.09499
2.34018,0.09239
2.36765,0.08993
2.39513,0.08744
2.42261,0.08505
2.45008,0.08272
2.47756,0.08041
2.50503,0.07811
2.53251,0.07590
2.55998,0.07369
2.58746,0.07151
2.61494,0.06939
2.64241,0.06736
2.66989,0.06527
2.69736,0.06325
2.72484,0.06122
2.75232,0.05925
2.77979,0.05729
2.80727,0.05529
2.83474,0.05339
2.86222,0.05139
2.88970,0.04952
2.91717,0.04761
2.94465,0.04565
2.97212,0.04377
2.99960,0.04181
3.02708,0.03984
3.05455,0.03788
3.08203,0.03591
3.10950,0.03388
3.13698,0.03186
3.16445,0.02983
3.19193,0.02768
3.21941,0.02541
3.24688,0.02317
3.27436,0.02093
3.30183,0.01859
3.32931,0.01629
3.35679,0.01380
3.38426,0.01132
3.41174,0.00883
3.43921,0.00628
3.46669,0.00456
3.49417,0.00444
3.52164,0.00434
3.54912,0.00433
3.57659,0.00433
3.60407,0.00432
3.63155,0.00432
3.65902,0.00431
3.68650,0.00431
3.71397,0.00430
3.74145,0.00430
3.76892,0.00429
3.79873,0.00467
3.82284,0.00453
3.85135,0.00428
