,t,msd
0,0.0,0.0
1,0.1,1.381547
2,0.2,2.1864982
3,0.3,2.5654576
4,0.4,2.8781939
5,0.5,3.12775
6,0.6,3.3391693
7,0.7,3.5146298
8,0.8,3.6819725
9,0.9,3.8230398
10,1.0,3.9654694
11,1.1,4.1037383
12,1.2,4.2219977
13,1.3,4.338492
14,1.4,4.430704
15,1.5,4.538233
16,1.6,4.6360016
17,1.7,4.719424
18,1.8,4.8271437
19,1.9,4.9433823
20,2.0,5.0396333
21,2.1,5.122003
22,2.2,5.2061205
23,2.3,5.2853646
24,2.4,5.3692265
25,2.5,5.466462
26,2.6,5.528291
27,2.7,5.5825143
28,2.8,5.6540914
29,2.9,5.718004
30,3.0,5.798047
31,3.1,5.8891144
32,3.2,5.98384
33,3.3,6.0552945
34,3.4,6.1169047
35,3.5,6.1932325
36,3.6,6.2794523
37,3.7,6.337922
38,3.8,6.379587
39,3.9,6.4419565
40,4.0,6.5207067
41,4.1,6.5945344
42,4.2,6.6647763
43,4.3,6.7388716
44,4.4,6.802186
45,4.5,6.850054
46,4.6,6.8899946
47,4.7,6.952212
48,4.8,7.0179515
49,4.9,7.0744214
50,5.0,7.1392565
51,5.1,7.210369
52,5.2,7.262493
53,5.3,7.2950153
54,5.4,7.332046
55,5.5,7.3855467
56,5.6,7.4428387
57,5.7,7.5156436
58,5.8,7.585397
59,5.9,7.6490765
60,6.0,7.7051544
61,6.1,7.761841
62,6.2,7.8166156
63,6.3,7.866251
64,6.4,7.9483624
65,6.5,8.018783
66,6.6,8.097359
67,6.7,8.162774
68,6.8,8.203312
69,6.9,8.236794
70,7.0,8.276939
71,7.1,8.327014
72,7.2,8.380216
73,7.3,8.414769
74,7.4,8.4613285
75,7.5,8.515891
76,7.6,8.5655775
77,7.7,8.629825
78,7.8,8.684093
79,7.9,8.72925
80,8.0,8.777395
81,8.1,8.821712
82,8.2,8.878054
83,8.3,8.955146
84,8.4,9.023464
85,8.5,9.088746
86,8.6,9.143137
87,8.7,9.201157
88,8.8,9.2502365
89,8.9,9.300995
90,9.0,9.335698
91,9.1,9.394286
92,9.2,9.449606
93,9.3,9.485574
94,9.4,9.51741
95,9.5,9.563886
96,9.6,9.590538
97,9.7,9.623265
98,9.8,9.683487
99,9.9,9.7330885
100,10.0,9.764523
101,10.1,9.802316
102,10.2,9.827028
103,10.3,9.866813
104,10.4,9.930884
105,10.5,9.99143
106,10.6,10.032891
107,10.7,10.073527
108,10.8,10.11673
109,10.9,10.15686
110,11.0,10.180979
111,11.1,10.208556
112,11.2,10.242077
113,11.3,10.276253
114,11.4,10.309531
115,11.5,10.34047
116,11.6,10.385324
117,11.7,10.431988
118,11.8,10.480327
119,11.9,10.531698
120,12.0,10.571641
121,12.1,10.608842
122,12.2,10.650976
123,12.3,10.6985035
124,12.4,10.752309
125,12.5,10.807017
126,12.6,10.863524
127,12.7,10.914642
128,12.8,10.954622
129,12.9,10.987942
130,13.0,11.013418
131,13.1,11.033632
132,13.2,11.065566
133,13.3,11.106647
134,13.4,11.1393385
135,13.5,11.180112
136,13.6,11.220427
137,13.7,11.25417
138,13.8,11.312802
139,13.9,11.358686
140,14.0,11.402763
141,14.1,11.448884
142,14.2,11.480708
143,14.3,11.537561
144,14.4,11.581756
145,14.5,11.627066
146,14.6,11.655364
147,14.7,11.701693
148,14.8,11.739501
149,14.9,11.769802
150,15.0,11.813205
151,15.1,11.85119
152,15.2,11.892194
153,15.3,11.928473
154,15.4,11.976124
155,15.5,12.012312
156,15.6,12.039297
157,15.7,12.059578
158,15.8,12.117058
159,15.9,12.167406
160,16.0,12.201753
161,16.1,12.245563
162,16.2,12.275983
163,16.3,12.294342
164,16.4,12.345552
165,16.5,12.394334
166,16.6,12.432976
167,16.7,12.492948
168,16.8,12.528895
169,16.9,12.56929
170,17.0,12.600741
171,17.1,12.637559
172,17.2,12.691422
173,17.3,12.726568
174,17.4,12.772888
175,17.5,12.829117
176,17.6,12.866572
177,17.7,12.907272
178,17.8,12.9599695
179,17.9,13.011165
180,18.0,13.059768
181,18.1,13.112885
182,18.2,13.167135
183,18.3,13.215271
184,18.4,13.265064
185,18.5,13.324904
186,18.6,13.3765135
187,18.7,13.4374275
188,18.8,13.493104
189,18.9,13.548254
190,19.0,13.597482
191,19.1,13.632809
192,19.2,13.6624565
193,19.3,13.717103
194,19.4,13.759785
195,19.5,13.827235
196,19.6,13.881981
197,19.7,13.927873
198,19.8,13.9656725
199,19.9,14.007354
200,20.0,14.033191
201,20.1,14.092004
202,20.2,14.144045
203,20.3,14.186724
204,20.4,14.250033
205,20.5,14.295418
206,20.6,14.341092
207,20.7,14.382298
208,20.8,14.461708
209,20.9,14.539243
210,21.0,14.588746
211,21.1,14.624175
212,21.2,14.683071
213,21.3,14.743664
214,21.4,14.796426
215,21.5,14.850573
216,21.6,14.897954
217,21.7,14.950985
218,21.8,15.00277
219,21.9,15.047854
220,22.0,15.094059
221,22.1,15.166133
222,22.2,15.218774
223,22.3,15.283682
224,22.4,15.324452
225,22.5,15.371086
226,22.6,15.432828
227,22.7,15.48353
228,22.8,15.536954
229,22.9,15.555235
230,23.0,15.603638
231,23.1,15.658136
232,23.2,15.709035
233,23.3,15.751731
234,23.4,15.800182
235,23.5,15.86213
236,23.6,15.902547
237,23.7,15.934265
238,23.8,15.987747
239,23.9,16.035267
240,24.0,16.084806
241,24.1,16.129816
242,24.2,16.172516
243,24.3,16.233175
244,24.4,16.294607
245,24.5,16.339539
246,24.6,16.391249
247,24.7,16.424973
248,24.8,16.465023
249,24.9,16.49649
250,25.0,16.52728
251,25.1,16.557947
252,25.2,16.592134
253,25.3,16.6224
254,25.4,16.658283
255,25.5,16.708378
256,25.6,16.744215
257,25.7,16.778242
258,25.8,16.813324
259,25.9,16.8688
260,26.0,16.922377
261,26.1,16.965252
262,26.2,17.006895
263,26.3,17.055033
264,26.4,17.105639
265,26.5,17.148195
266,26.6,17.1913
267,26.7,17.23244
268,26.8,17.263563
269,26.9,17.306005
270,27.0,17.347136
271,27.1,17.387766
272,27.2,17.43616
273,27.3,17.498537
274,27.4,17.557577
275,27.5,17.616278
276,27.6,17.652205
277,27.7,17.680098
278,27.8,17.7142
279,27.9,17.756851
280,28.0,17.831415
281,28.1,17.89199
282,28.2,17.951546
283,28.3,17.979956
284,28.4,18.01598
285,28.5,18.053045
286,28.6,18.084763
287,28.7,18.10846
288,28.8,18.138994
289,28.9,18.190762
290,29.0,18.223381
291,29.1,18.248306
292,29.2,18.261105
293,29.3,18.286392
294,29.4,18.324406
295,29.5,18.363575
296,29.6,18.40784
297,29.7,18.457798
298,29.8,18.519005
299,29.9,18.55216
300,30.0,18.589508
301,30.1,18.629217
302,30.2,18.66888
303,30.3,18.72578
304,30.4,18.782
305,30.5,18.820507
306,30.6,18.845184
307,30.7,18.872349
308,30.8,18.93424
309,30.9,19.003166
310,31.0,19.043488
311,31.1,19.106565
312,31.2,19.176481
313,31.3,19.22448
314,31.4,19.262842
315,31.5,19.320654
316,31.6,19.387104
317,31.7,19.44548
318,31.8,19.495438
319,31.9,19.554426
320,32.0,19.61269
321,32.1,19.668411
322,32.2,19.722635
323,32.3,19.78634
324,32.4,19.827919
325,32.5,19.878407
326,32.6,19.929653
327,32.7,19.992708
328,32.8,20.049883
329,32.9,20.105402
330,33.0,20.179464
331,33.1,20.250404
332,33.2,20.298807
333,33.3,20.348448
334,33.4,20.408897
335,33.5,20.477255
336,33.6,20.525923
337,33.7,20.590439
338,33.8,20.674461
339,33.9,20.73031
340,34.0,20.776165
341,34.1,20.81195
342,34.2,20.860624
343,34.3,20.904638
344,34.4,20.938583
345,34.5,20.982918
346,34.6,21.022684
347,34.7,21.055332
348,34.8,21.097324
349,34.9,21.162476
350,35.0,21.202608
351,35.1,21.252337
352,35.2,21.30201
353,35.3,21.342344
354,35.4,21.401285
355,35.5,21.474869
356,35.6,21.526264
357,35.7,21.5701
358,35.8,21.62619
359,35.9,21.687405
360,36.0,21.739178
361,36.1,21.811728
362,36.2,21.85072
363,36.3,21.892956
364,36.4,21.94241
365,36.5,21.98508
366,36.6,22.027454
367,36.7,22.065588
368,36.8,22.116096
369,36.9,22.159727
370,37.0,22.198734
371,37.1,22.235678
372,37.2,22.284588
373,37.3,22.34046
374,37.4,22.397427
375,37.5,22.443127
376,37.6,22.49874
377,37.7,22.572514
378,37.8,22.621836
379,37.9,22.66204
380,38.0,22.700748
381,38.1,22.73729
382,38.2,22.774647
383,38.3,22.840715
384,38.4,22.908201
385,38.5,22.979694
386,38.6,23.027122
387,38.7,23.057846
388,38.8,23.088093
389,38.9,23.112171
390,39.0,23.138653
391,39.1,23.15777
392,39.2,23.191885
393,39.3,23.23626
394,39.4,23.280731
395,39.5,23.304747
396,39.6,23.333466
397,39.7,23.38878
398,39.8,23.46134
399,39.9,23.51402
400,40.0,23.539951
401,40.1,23.57284
402,40.2,23.617302
403,40.3,23.664032
404,40.4,23.70681
405,40.5,23.747126
406,40.6,23.796257
407,40.7,23.84665
408,40.8,23.88145
409,40.9,23.90616
410,41.0,23.947126
411,41.1,23.99639
412,41.2,24.044235
413,41.3,24.088629
