t,msd
0,0.0
1,1.8598427
2,3.324677
3,4.457125
4,5.523879
5,6.549306
6,7.558508
7,8.526466
8,9.495985
9,10.440444
10,11.368023
11,12.2757
12,13.15876
13,14.069106
14,14.994773
15,15.8805065
16,16.781183
17,17.677935
18,18.550915
19,19.403883
20,20.27606
21,21.139519
22,22.009329
23,22.853645
24,23.695572
25,24.548155
26,25.411488
27,26.26431
28,27.112001
29,27.949337
30,28.768185
31,29.59756
32,30.418497
33,31.250025
34,32.09567
35,32.915928
36,33.7477
37,34.589382
38,35.430786
39,36.241142
40,37.07182
41,37.915886
42,38.745255
43,39.5707
44,40.392147
45,41.21206
46,42.054768
47,42.882244
48,43.729904
49,44.592613
50,45.45117
51,46.301483
52,47.149338
53,47.992317
54,48.822155
55,49.658005
56,50.50531
57,51.353848
58,52.198147
59,53.017952
60,53.87013
61,54.716957
62,55.560356
63,56.39344
64,57.254265
65,58.10073
66,58.924915
67,59.74875
68,60.566196
69,61.40477
70,62.255165
71,63.111034
72,63.940567
73,64.790924
74,65.64226
75,66.488014
76,67.33956
77,68.174706
78,68.99943
79,69.840164
80,70.7068
81,71.57419
82,72.430984
83,73.2849
84,74.10946
85,74.92751
86,75.75352
87,76.58711
88,77.454124
89,78.31091
90,79.16411
91,80.0328
92,80.91231
93,81.81545
94,82.718544
95,83.61673
96,84.457016
97,85.32469
98,86.20169
99,87.04876
100,87.890755
101,88.74049
102,89.59005
103,90.417786
104,91.27562
105,92.12257
106,92.98377
107,93.85131
108,94.69475
109,95.52909
110,96.37017
111,97.23569
112,98.1052
113,98.939156
114,99.78233
115,100.58671
116,101.40282
117,102.19098
118,102.99477
119,103.82204
120,104.65472
121,105.46322
122,106.2612
123,107.07883
124,107.89268
125,108.71465
126,109.55589
127,110.38184
128,111.2026
129,112.02862
130,112.85142
131,113.68333
132,114.50206
133,115.31744
134,116.12449
135,116.91384
136,117.6912
137,118.489136
138,119.28535
139,120.09698
140,120.906715
141,121.709114
142,122.507614
143,123.308846
144,124.09569
145,124.87595
146,125.66528
147,126.46958
148,127.28379
149,128.08232
150,128.86522
151,129.66267
152,130.47145
153,131.28511
154,132.09181
155,132.89552
156,133.69896
157,134.50412
158,135.30713
159,136.13586
160,136.95303
161,137.78104
162,138.58255
163,139.3689
164,140.14972
165,140.92294
166,141.7042
167,142.46107
168,143.2008
169,143.95181
170,144.72682
171,145.50694
172,146.27345
173,147.04984
174,147.8455
175,148.62714
176,149.39854
177,150.18462
178,150.94156
179,151.70563
180,152.48294
181,153.27112
182,154.06038
183,154.83139
184,155.58849
185,156.367
186,157.14792
187,157.92722
188,158.70929
189,159.5169
190,160.32341
191,161.11089
192,161.92262
193,162.71402
194,163.52797
195,164.31772
196,165.11674
197,165.93637
198,166.74495
199,167.58124
200,168.43015
201,169.24092
202,170.05681
203,170.86334
204,171.6686
205,172.46475
206,173.26947
207,174.0623
208,174.874
209,175.67822
210,176.48428
211,177.29797
212,178.1174
213,178.96109
214,179.7854
215,180.6044
216,181.38641
217,182.20265
218,183.02701
219,183.86429
220,184.6873
221,185.5247
222,186.36131
223,187.19302
224,188.03456
225,188.8365
226,189.62508
227,190.40933
228,191.21228
229,191.98753
230,192.7687
231,193.52869
232,194.26735
233,195.03723
234,195.8321
235,196.61693
236,197.38303
237,198.175
238,198.9588
239,199.73557
240,200.50433
241,201.25488
242,202.03131
243,202.79523
244,203.57367
245,204.34377
246,205.0988
247,205.87662
248,206.61754
249,207.35158
250,208.09947
251,208.85675
252,209.62306
253,210.39093
254,211.13365
255,211.88857
256,212.6455
257,213.40573
258,214.16104
259,214.90286
260,215.66301
261,216.44235
262,217.2009
263,218.00613
264,218.80057
265,219.60153
266,220.41049
267,221.22855
268,221.99255
269,222.77412
270,223.56975
271,224.349
272,225.14752
273,225.95049
274,226.74065
275,227.51482
276,228.29744
277,229.09367
278,229.88861
279,230.69287
280,231.48761
281,232.27538
282,233.0455
283,233.83276
284,234.62175
