,t,msd
0,0.0,0.0
1,0.1,1.0967332
2,0.2,2.0264993
3,0.3,2.8445582
4,0.4,3.7652638
5,0.5,4.6097813
6,0.6,5.4383893
7,0.7,6.3174825
8,0.8,7.171165
9,0.9,8.040239
10,1.0,8.899975
11,1.1,9.73693
12,1.2,10.5991955
13,1.3,11.421497
14,1.4,12.254743
15,1.5,13.105572
16,1.6,13.947142
17,1.7,14.780811
18,1.8,15.628998
19,1.9,16.47024
20,2.0,17.305134
21,2.1,18.12948
22,2.2,18.957384
23,2.3,19.805433
24,2.4,20.643818
25,2.5,21.481668
26,2.6,22.331923
27,2.7,23.16516
28,2.8,24.016329
29,2.9,24.882528
30,3.0,25.736326
31,3.1,26.59126
32,3.2,27.451485
33,3.3,28.316444
34,3.4,29.179022
35,3.5,30.016376
36,3.6,30.858591
37,3.7,31.70344
38,3.8,32.54079
39,3.9,33.38406
40,4.0,34.214943
41,4.1,35.064964
42,4.2,35.92495
43,4.3,36.782055
44,4.4,37.65979
45,4.5,38.543484
46,4.6,39.418915
47,4.7,40.322605
48,4.8,41.21957
49,4.9,42.10644
50,5.0,42.994663
51,5.1,43.87189
52,5.2,44.749397
53,5.3,45.613716
54,5.4,46.48479
55,5.5,47.360348
56,5.6,48.22304
57,5.7,49.073185
58,5.8,49.941776
59,5.9,50.79881
60,6.0,51.652767
61,6.1,52.512943
62,6.2,53.37563
63,6.3,54.245846
64,6.4,55.113663
65,6.5,55.98573
66,6.6,56.859394
67,6.7,57.71876
68,6.8,58.578262
69,6.9,59.450905
70,7.0,60.317616
71,7.1,61.184906
72,7.2,62.0542
73,7.3,62.909702
74,7.4,63.763542
75,7.5,64.61936
76,7.6,65.4667
77,7.7,66.31579
78,7.8,67.17205
79,7.9,68.02322
80,8.0,68.88176
81,8.1,69.74139
82,8.2,70.61327
83,8.3,71.48971
84,8.4,72.362526
85,8.5,73.24683
86,8.6,74.124275
87,8.7,74.999405
88,8.8,75.88072
89,8.9,76.76574
90,9.0,77.6672
91,9.1,78.588066
92,9.2,79.515564
93,9.3,80.4502
94,9.4,81.40517
95,9.5,82.359406
96,9.6,83.31027
97,9.7,84.26263
98,9.8,85.23033
99,9.9,86.19719
100,10.0,87.13693
101,10.1,88.067154
102,10.2,88.99663
103,10.3,89.91777
104,10.4,90.83702
105,10.5,91.7568
106,10.6,92.667015
107,10.7,93.58025
108,10.8,94.48816
109,10.9,95.39833
110,11.0,96.32841
111,11.1,97.25951
112,11.2,98.19429
113,11.3,99.125084
114,11.4,100.03477
115,11.5,100.949684
116,11.6,101.86318
117,11.7,102.78441
118,11.8,103.707214
119,11.9,104.62303
120,12.0,105.555786
121,12.1,106.491486
122,12.2,107.4373
123,12.3,108.37592
124,12.4,109.32001
125,12.5,110.27704
126,12.6,111.238396
127,12.7,112.18013
128,12.8,113.12687
129,12.9,114.073685
130,13.0,115.001854
131,13.1,115.93677
132,13.2,116.87315
133,13.3,117.793495
134,13.4,118.7037
135,13.5,119.60587
136,13.6,120.510925
137,13.7,121.42464
138,13.8,122.33249
139,13.9,123.25758
140,14.0,124.174545
141,14.1,125.09161
142,14.2,126.025764
143,14.3,126.956345
144,14.4,127.880165
145,14.5,128.82713
