t,msd
0,0.0
1,1.267881
2,2.4142537
3,3.4386199
4,4.5729895
5,5.651728
6,6.7243047
7,7.837519
8,8.915333
9,10.02369
10,11.110463
11,12.177908
12,13.274825
13,14.355347
14,15.422548
15,16.486237
16,17.529009
17,18.562628
18,19.607086
19,20.651133
20,21.698515
21,22.738312
22,23.760561
23,24.78797
24,25.788744
25,26.791674
26,27.791286
27,28.775116
28,29.749271
29,30.731743
30,31.691593
31,32.659615
32,33.621796
33,34.59668
34,35.591515
35,36.58101
36,37.56359
37,38.58184
38,39.57909
39,40.56725
40,41.566887
41,42.5608
42,43.548428
43,44.532524
44,45.513737
45,46.496212
46,47.48078
47,48.476013
48,49.472683
49,50.471054
50,51.457626
51,52.435513
52,53.424778
53,54.402973
54,55.371468
55,56.349705
56,57.317516
57,58.27579
58,59.23639
59,60.1956
60,61.159138
61,62.111362
62,63.04773
63,63.988625
64,64.93037
65,65.87543
66,66.83118
67,67.77424
68,68.719406
69,69.66281
70,70.595604
71,71.547134
72,72.48846
73,73.4194
74,74.35432
75,75.28271
76,76.202995
77,77.11838
78,78.01656
79,78.93245
80,79.84738
81,80.77822
82,81.694466
83,82.60891
84,83.52578
85,84.4345
86,85.33705
87,86.25069
88,87.16273
89,88.060844
90,88.94881
91,89.86116
92,90.76835
93,91.662094
94,92.5451
95,93.43648
96,94.33347
97,95.22795
98,96.13519
99,97.025795
100,97.91309
101,98.80949
102,99.7057
103,100.588196
104,101.47181
105,102.35679
106,103.246376
107,104.16201
108,105.07392
109,105.95863
110,106.84773
111,107.74123
112,108.62168
113,109.50765
114,110.3949
115,111.29224
116,112.20413
117,113.12339
118,114.035866
119,114.94094
120,115.84604
121,116.74382
122,117.65221
123,118.56965
124,119.4966
125,120.42777
126,121.35033
127,122.29237
128,123.210434
129,124.14127
130,125.09179
131,126.039024
132,127.01098
133,127.994606
134,128.98868
135,129.99734
136,130.99559
137,131.97787
138,132.95825
139,133.9494
140,134.93886
141,135.92247
142,136.91884
143,137.93346
144,138.93155
145,139.93274
146,140.94855
147,141.96426
148,142.9845
149,144.01195
150,145.0386
151,146.0827
152,147.12332
153,148.14761
154,149.19528
155,150.2501
156,151.30725
157,152.35368
158,153.39436
159,154.4452
160,155.49518
161,156.54161
162,157.58351
163,158.63438
164,159.6673
165,160.69601
166,161.72859
167,162.74648
168,163.75233
169,164.7452
170,165.75192
171,166.76694
172,167.7866
173,168.80603
174,169.83925
175,170.86159
176,171.88506
177,172.90602
178,173.92604
179,174.93486
180,175.93889
181,176.94685
182,177.95123
183,178.93785
184,179.91115
185,180.8976
186,181.89597
187,182.90381
188,183.902
189,184.91225
190,185.9475
191,186.98035
192,188.00992
193,189.05072
194,190.07468
195,191.11723
196,192.15627
197,193.1832
198,194.2073
199,195.23235
200,196.24947
201,197.2737
202,198.29276
203,199.29866
204,200.31146
205,201.34235
206,202.36954
207,203.39024
208,204.42867
209,205.46396
210,206.46649
211,207.48172
212,208.49474
213,209.50768
214,210.5197
215,211.52158
216,212.52725
217,213.53387
218,214.53642
219,215.5347
220,216.53732
221,217.54956
222,218.5618
223,219.57715
224,220.57248
225,221.56223
226,222.55692
227,223.55617
228,224.54402
229,225.525
230,226.50711
231,227.50139
232,228.48392
233,229.45755
234,230.453
235,231.45447
236,232.466
237,233.47717
238,234.4897
239,235.5002
240,236.5271
241,237.5621
242,238.60693
243,239.64151
244,240.67468
245,241.72908
246,242.78836
247,243.84288
248,244.88657
249,245.93433
250,246.96736
251,248.0144
252,249.07135
253,250.11768
254,251.15471
255,252.17998
256,253.20645
257,254.2478
258,255.28471
259,256.33795
260,257.4075
261,258.4812
262,259.55087
263,260.60715
264,261.674
265,262.75604
266,263.81894
267,264.9031
268,265.97888
269,267.05142
270,268.1221
271,269.16418
272,270.22256
273,271.29288
274,272.36615
275,273.4395
276,274.4998
277,275.5843
278,276.64725
279,277.72864
280,278.81628
281,279.9075
282,281.0114
283,282.10687
284,283.20697
285,284.31015
286,285.42
287,286.54175
288,287.66272
289,288.78354
290,289.91675
291,291.05972
292,292.19232
293,293.30765
294,294.4177
295,295.53314
296,296.66333
297,297.79208
298,298.91718
299,300.0639
