cf,dft,dftba,dftbb
0.70000,0.64350,1.36580,2.14282
0.75013,-0.7668,-0.843509,-0.43857
0.80025,-1.7176,-1.695754,-1.56442
0.84937,-2.2963,-2.361992,-2.30727
0.89950,-2.6342,-2.710821,-2.72176
0.94962,-2.8079,-2.829834,-2.85172
0.99975,-2.8503,-2.872245,-2.89412
1.04887,-2.8271,-2.859952,-2.85995
1.09900,-2.7600,-2.781978,-2.77102
1.14912,-2.6492,-2.693057,-2.64927
1.19925,-2.5165,-2.549407,-2.50563
1.24937,-2.3838,-2.394827,-2.36199
1.29950,-2.2402,-2.251183,-2.24023
1.34962,-2.0965,-2.107539,-2.10753
1.39975,-1.9638,-1.952959,-1.96389
1.44987,-1.8202,-1.809305,-1.78742
