cf,dft,dftba,dftbb
0.75013,0.05390,-0.23064,0.29467
0.80025,-1.69575,-1.75047,-1.78330
0.84937,-2.83257,-2.98579,-3.05145
0.89950,-3.45501,-3.59728,-3.57539
0.94962,-3.73818,-3.84761,-3.74912
0.99975,-3.83530,-3.91191,-3.84624
1.04887,-3.77924,-3.85584,-3.81207
1.09900,-3.65748,-3.73409,-3.71220
1.14912,-3.49195,-3.54667,-3.57950
1.19925,-3.29359,-3.33737,-3.39208
1.24937,-3.07334,-3.09523,-3.14995
1.29950,-2.86403,-2.84215,-2.89687
1.34962,-2.66567,-2.63284,-2.66567
1.39975,-2.46731,-2.42353,-2.44542
1.44987,-2.26895,-2.23612,-2.18140
