cf,dft,dftba,dftbb
0.80025,-1.27988,-0.99534,-1.35649
0.84937,-3.42355,-3.11712,-3.42355
0.89950,-4.62600,-4.74639,-4.65884
0.94962,-5.20466,-5.45637,-5.21560
0.99975,-5.37839,-5.58633,-5.38934
1.04887,-5.26761,-5.39894,-5.27855
1.09900,-5.01453,-5.05830,-5.02547
1.14912,-4.68484,-4.68484,-4.68484
1.19925,-4.33326,-4.30043,-4.32232
1.24937,-3.95980,-3.90508,-3.97074
1.29950,-3.60822,-3.52067,-3.63011
1.34962,-3.27853,-3.15815,-3.31136
1.39975,-2.98167,-2.85035,-2.98167
1.44987,-2.67387,-2.57538,-2.63010
