cf,dft,dftba,dftbb
0.70000,-0.13351,-0.40711,-0.14446
0.75013,-0.84350,-0.84350,-0.84350
0.80025,-1.30177,-1.23611,-1.31271
0.84937,-1.59591,-1.28948,-1.59591
0.89950,-1.76964,-1.50699,-1.76964
0.94962,-1.85582,-1.69166,-1.86677
0.99975,-1.87634,-1.79973,-1.87634
1.04887,-1.86405,-1.82028,-1.86405
1.09900,-1.80796,-1.80796,-1.81890
1.14912,-1.71904,-1.70809,-1.72998
1.19925,-1.64106,-1.60823,-1.65200
1.24937,-1.55214,-1.51930,-1.57402
1.29950,-1.46321,-1.44133,-1.47416
1.34962,-1.37429,-1.37429,-1.37429
1.39975,-1.28537,-1.28537,-1.28537
1.44987,-1.18550,-1.22928,-1.18550
