r,rdf
1.36803e+0,2.89855e-2
1.60804e+0,4.34783e-2
1.85612e+0,1.15942e-1
2.04823e+0,2.31884e-1
2.19258e+0,5.79710e-1
2.20086e+0,8.55072e-1
2.20917e+0,1.17391e+0
2.28319e+0,3.18841e+0
2.39071e+0,6.71014e+0
2.45252e+0,4.52174e+0
2.46670e+0,2.69565e+0
2.48909e+0,1.08696e+0
2.50443e+0,4.34783e-1
2.50420e+0,2.02899e-1
2.52813e+0,1.30435e-1
2.56812e+0,1.15942e-1
2.62407e+0,7.24638e-2
2.72006e+0,5.79710e-2
2.88806e+0,5.79710e-2
3.00810e+0,1.01449e-1
3.11214e+0,1.44928e-1
3.24020e+0,2.02899e-1
3.32036e+0,3.62319e-1
3.37649e+0,4.92754e-1
3.42470e+0,6.95652e-1
3.48901e+0,1.01449e+0
3.55339e+0,1.39130e+0
3.60975e+0,1.75362e+0
3.67407e+0,2.07246e+0
3.72222e+0,2.21739e+0
3.77828e+0,2.27536e+0
3.85826e+0,2.26087e+0
3.90616e+0,2.15942e+0
3.94606e+0,2.05797e+0
3.96996e+0,1.95652e+0
4.00983e+0,1.82609e+0
4.04967e+0,1.66667e+0
4.08143e+0,1.43478e+0
4.14522e+0,1.21739e+0
4.20904e+0,1.04348e+0
4.24097e+0,9.71014e-1
4.27293e+0,9.27536e-1
4.36891e+0,9.13043e-1
4.48086e+0,8.55072e-1
4.60081e+0,8.11594e-1
4.76077e+0,7.68116e-1
4.95274e+0,7.39130e-1
5.13675e+0,7.53623e-1
5.25675e+0,7.53623e-1
5.37684e+0,8.40580e-1
5.45694e+0,9.42029e-1
5.54507e+0,1.07246e+0
5.64916e+0,1.15942e+0
5.76122e+0,1.21739e+0
5.87319e+0,1.18841e+0
5.93710e+0,1.10145e+0
6.00901e+0,1.01449e+0
6.09687e+0,8.69565e-1
6.16083e+0,8.26087e-1
6.33681e+0,8.11594e-1
6.50493e+0,9.27536e-1
6.69699e+0,9.85507e-1
6.88104e+0,1.04348e+0
7.04106e+0,1.05797e+0
7.24109e+0,1.08696e+0
7.48109e+0,1.08696e+0
7.63301e+0,1.01449e+0
7.80099e+0,9.85507e-1
7.97691e+0,9.13043e-1
7.92893e+0,9.27536e-1
