,ppm,exp,pred
0,49.0,11.88715,11.892458522331921
1,48.0,11.89241,11.901420672459418
2,47.0,11.90285,11.911070541266215
3,46.0,11.91785,11.921477687050736
4,45.0,11.93333,11.932720274200983
5,44.0,11.94187,11.94488630165281
6,43.0,11.95897,11.958075021237528
7,42.0,11.97116,11.972398574427507
8,41.0,11.98984,11.987983878765084
9,40.0,12.00924,12.004974797282468
10,39.0,12.02516,12.023534624684592
11,38.0,12.04175,12.043848921680484
12,37.0,12.06732,12.066128721568953
13,36.0,12.08465,12.090614117834159
14,35.0,12.11841,12.117578213208652
15,34.0,12.13998,12.14733136202979
16,33.0,12.18004,12.180225557730207
17,32.0,12.2108,12.216658689821191
18,31.0,12.23998,12.25707819666836
19,30.0,12.2823,12.301983339840264
20,29.0,12.31646,12.351924881064043
21,28.0,12.36392,12.407500303824927
22,27.0,12.418,12.469341838525928
23,26.0,12.47706,12.53809339594534
24,25.0,12.54171,12.614371134327799
25,24.0,12.61341,12.698700993805982
26,23.0,12.693,12.791425662432344
27,22.0,12.77493,12.892574150368873
28,21.0,12.88412,13.001691187522683
29,20.0,12.98998,13.117633309716648
30,19.0,13.10845,13.238355644985221
31,18.0,13.23573,13.360737299395396
32,17.0,13.37867,13.480517206382867
33,16.0,13.52187,13.59242188687106
34,15.0,13.66826,13.690543730580348
35,14.0,13.78509,13.768964616653989
36,13.0,13.87258,13.822530747173015
37,12.0,13.92145,13.847610205482907
38,11.0,13.91227,13.842645075232348
39,10.0,13.86412,13.808357766697036
40,9.0,13.7798,13.747567081546128
41,8.0,13.67911,13.664677921740116
42,7.0,13.56097,13.564992013906345
43,6.0,13.44814,13.454014978754152
44,5.0,13.34633,13.336898610043226
45,4.0,13.23693,13.218081182091707
46,3.0,13.14235,13.101117135351771
47,2.0,13.04777,12.9886503096136
48,1.0,12.95274,12.882480581043302
49,0.0,12.87292,12.78368385907142
50,-1.0,12.78486,12.692755865530732
51,-2.0,12.71398,12.609757772739815
52,-3.0,12.63372,12.534448404588145
53,-4.0,12.57014,12.466394299330158
54,-5.0,12.50697,12.405054815810951
55,-6.0,12.44955,12.349843694176835
56,-7.0,12.39375,12.300170781480793
57,-8.0,12.3412,12.255468359456072
58,-9.0,12.30186,12.215206259474455
59,-10.0,12.25455,12.178899243823768
60,-11.0,12.21454,12.146109319946117
61,-12.0,12.17973,12.11644491589924
62,-13.0,12.14393,12.089558249113454
63,-14.0,12.11126,12.065141772883619
64,-15.0,12.0862,12.04292426534935
65,-16.0,12.05701,12.02266690584916
66,-17.0,12.02347,12.004159536959195
67,-18.0,12.01166,11.987217215591487
68,-19.0,11.98205,11.971677096881463
69,-20.0,11.9638,11.957395658481548
70,-21.0,11.94856,11.944246252116724
71,-22.0,11.93348,11.932116958294552
72,-23.0,11.9173,11.920908715197433
73,-24.0,11.90192,11.91053369159651
74,-25.0,11.88706,11.900913874553805
75,-26.0,11.87177,11.891979844734339
76,-27.0,11.85484,11.883669714721012
77,-28.0,11.85779,11.875928208443879
78,-29.0,11.84102,11.868705862489707
79,-30.0,11.8265,11.861958332533469
80,-31.0,11.82566,11.855645790377174
81,-32.0,11.81043,11.849732399076695
82,-33.0,11.80998,11.844185855388115
83,-34.0,11.79485,11.83897699028756
84,-35.0,11.79646,11.834079419633586
85,-36.0,11.77961,11.829469238172058
86,-37.0,11.77961,11.825124751052728
87,-38.0,11.76367,11.821026237855842
88,-39.0,11.76426,11.817155744835281
89,-40.0,11.76402,11.813496901689417
90,-41.0,11.74866,11.810034759686726
91,-42.0,11.7489,11.80675564841382
92,-43.0,11.7488,11.803647048789683
93,-44.0,11.73267,11.80069748031148
94,-45.0,11.73355,11.797896400772386
95,-46.0,11.73355,11.795234116927427
96,-47.0,11.7337,11.792701704785413
97,-48.0,11.71835,11.790290938378355
98,-49.0,11.7182,11.78799422600893
