,ppm,exp,pred
0,49.0,3.84895,3.8297380632724445
1,48.0,3.85153,3.8354024455115825
2,47.0,3.86407,3.8310024539232095
3,46.0,3.88063,3.837861734142583
4,45.0,3.88722,3.852679246512941
5,44.0,3.8871,3.860852694393243
6,43.0,3.90237,3.8742328530511068
7,42.0,3.91376,3.884949063786779
8,41.0,3.92353,3.897106238067277
9,40.0,3.93276,3.910913816135722
10,39.0,3.9485900000000003,3.926677241185588
11,38.0,3.96374,3.9447726299340706
12,37.0,3.97894,3.965665404660184
13,36.0,3.99866,3.9899336119833695
14,35.0,4.0263,4.018296310218903
15,34.0,4.04045,4.0516464323965895
16,33.0,4.07142,4.091085396458071
17,32.0,4.102320000000001,4.137952715108421
18,31.0,4.13688,4.193837233849145
19,30.0,4.17689,4.260547233614636
20,29.0,4.2244399999999995,4.340005914406429
21,28.0,4.28512,4.442171123628249
22,27.0,4.3612,4.551771780944507
23,26.0,4.42376,4.67812892974029
24,25.0,4.55092,4.826814736267751
25,24.0,4.69285,4.978964610460986
26,23.0,4.84398,5.1358623573571185
27,22.0,5.01081,5.288301687087874
28,21.0,5.20473,5.4326100521154626
29,20.0,5.398540000000001,5.5404482985793235
30,19.0,5.534940000000001,5.619293030982608
31,18.0,5.6409,5.643579888232248
32,17.0,5.683059999999999,5.627193030982609
33,16.0,5.682320000000001,5.564758298579323
34,15.0,5.6563099999999995,5.458960052115462
35,14.0,5.60858,5.3350316870878745
36,13.0,5.56949,5.198512357357118
37,12.0,5.545,5.049634610460986
38,11.0,5.5682,4.914064736267751
39,10.0,5.635400000000001,4.7954989297402895
40,9.0,5.7424800000000005,4.699361780944507
41,8.0,5.85173,4.620881123628249
42,7.0,5.798820000000001,4.57413591440643
43,6.0,5.61328,4.536687233614636
44,5.0,5.417590000000001,4.542687233849145
45,4.0,5.2482500000000005,4.576862715108421
46,3.0,5.1450499999999995,4.641375396458072
47,2.0,5.08567,4.73522643239659
48,1.0,5.05602,4.848346310218903
49,0.0,5.0195799999999995,4.95665361198337
50,-1.0,4.93274,4.970085404660184
51,-2.0,4.7669,4.880772629934071
52,-3.0,4.6067,4.727767241185588
53,-4.0,4.4782399999999996,4.566923816135722
54,-5.0,4.3761600000000005,4.431096238067277
55,-6.0,4.28867,4.314149063786779
56,-7.0,4.21992,4.224752853051107
57,-8.0,4.148350000000001,4.150532694393243
58,-9.0,4.11045,4.090929246512941
59,-10.0,4.07062,4.035031734142583
60,-11.0,4.030340000000001,3.9958524539232094
61,-12.0,4.00741,3.9683624455115822
62,-13.0,3.98029,3.9385080632724447
63,-14.0,3.95779,3.918288246301637
64,-15.0,3.93343,3.8980523322937404
65,-16.0,3.91845,3.8783382970394222
66,-17.0,3.90308,3.8748013287937475
67,-18.0,3.88735,3.8550526675411803
68,-19.0,3.86409,3.843638654949479
69,-20.0,3.85671,3.8333299528047484
70,-21.0,3.84885,3.830340896891133
71,-22.0,3.8388,3.819098960320454
72,-23.0,3.83434,3.8173043057504725
73,-24.0,3.82594,3.8074294101440946
74,-25.0,3.81868,3.805368749006178
75,-26.0,3.81052,3.8034185296076566
76,-27.0,3.81041,3.8020364647326854
77,-28.0,3.80351,3.7921015800875106
78,-29.0,3.7951900000000003,3.7905440497843035
79,-30.0,3.79501,3.781255055331278
80,-31.0,3.7875,3.7797666643773202
81,-32.0,3.77998,3.7784417261178183
82,-33.0,3.78579,3.7771937808013183
83,-34.0,3.7884100000000003,3.776016981209814
84,-35.0,3.77992,3.774906024338968
85,-36.0,3.78372,3.773856091794144
86,-37.0,3.76738,3.772862797656252
87,-38.0,3.76443,3.7719221427679046
88,-39.0,3.76447,3.7710304745531387
89,-40.0,3.76447,3.770184451619173
90,-41.0,3.76451,3.769381012501417
91,-42.0,3.75685,3.7686173480072354
92,-43.0,3.74998,3.7678908766930634
93,-44.0,3.74769,3.7671992230760303
94,-45.0,3.74664,3.7665401982373936
95,-46.0,3.7490900000000003,3.765911782522616
96,-47.0,3.74912,3.765312110083227
97,-48.0,3.74912,3.764739455039913
98,-49.0,3.74912,3.764192219075522
