,ppm,exp,pred
0,49.0,7.88268,7.879670826450904
1,48.0,7.88206,7.885421421927496
2,47.0,7.89468,7.891736674694127
3,46.0,7.89797,7.898691424221998
4,45.0,7.91295,7.9063730254512725
5,44.0,7.91321,7.914883872289319
6,43.0,7.92952,7.9243445131091645
7,42.0,7.93643,7.934897514522544
8,41.0,7.94961,7.946712274302319
9,40.0,7.95956,7.959991041802039
10,39.0,7.975,7.974976477694701
11,38.0,7.98993,7.991961177446843
12,37.0,8.017,8.011299696735527
13,36.0,8.03606,8.033423750676567
14,35.0,8.06394,8.05886140242496
15,34.0,8.08956,8.088261181480995
16,33.0,8.12921,8.122422108304008
17,32.0,8.16071,8.16233039659926
18,31.0,8.21505,8.209202838163607
19,30.0,8.26134,8.264534903295019
20,29.0,8.32598,8.33014715901828
21,28.0,8.40578,8.408214382900107
22,27.0,8.49432,8.501243672905563
23,26.0,8.60992,8.611934741207234
24,25.0,8.74757,8.742800758156408
25,24.0,8.90425,8.895353528128835
26,23.0,9.10311,9.068601779027823
27,22.0,9.32727,9.256714538747275
28,21.0,9.53126,9.446258885650275
29,20.0,9.66852,9.614705837930016
30,19.0,9.71759,9.733295574389093
31,18.0,9.71469,9.776327913992661
32,17.0,9.69458,9.733295574389093
33,16.0,9.63532,9.614705837930016
34,15.0,9.49844,9.446258885650275
35,14.0,9.26451,9.256714538747275
36,13.0,9.00959,9.068601779027823
37,12.0,8.80241,8.895353528128835
38,11.0,8.63672,8.742800758156408
39,10.0,8.51153,8.611934741207234
40,9.0,8.42615,8.501243672905563
41,8.0,8.36078,8.408214382900107
42,7.0,8.29732,8.33014715901828
43,6.0,8.2578,8.264534903295019
44,5.0,8.2191,8.209202838163607
45,4.0,8.18877,8.16233039659926
46,3.0,8.15817,8.122422108304008
47,2.0,8.12864,8.088261181480995
48,1.0,8.10449,8.05886140242496
49,0.0,8.08138,8.033423750676567
50,-1.0,8.05185,8.011299696735527
51,-2.0,8.02894,7.991961177446843
52,-3.0,8.00573,7.974976477694701
53,-4.0,7.99012,7.959991041802039
54,-5.0,7.96725,7.946712274302319
55,-6.0,7.94579,7.934897514522544
56,-7.0,7.93836,7.9243445131091645
57,-8.0,7.92837,7.914883872289319
58,-9.0,7.92207,7.9063730254512725
59,-10.0,7.91685,7.898691424221998
60,-11.0,7.91179,7.891736674694127
61,-12.0,7.91358,7.885421421927496
62,-13.0,7.92637,7.879670826450904
63,-14.0,7.94325,7.874420510964836
64,-15.0,7.97518,7.869614882059367
65,-16.0,8.00673,7.8652057523155054
66,-17.0,8.02091,7.8611512040586184
67,-18.0,8.00618,7.857414648363809
68,-19.0,7.94678,7.853964042505591
69,-20.0,7.89832,7.8507712365320375
70,-21.0,7.86719,7.847811425510298
71,-22.0,7.85277,7.8450626886048065
72,-23.0,7.84432,7.842505599793365
73,-24.0,7.83864,7.840122897915366
74,-25.0,7.83662,7.8378992060462105
75,-26.0,7.83663,7.8358207920300815
76,-27.0,7.82915,7.8338753634781355
77,-28.0,7.82893,7.832051891727219
78,-29.0,7.82652,7.83034046021494
79,-30.0,7.82128,7.828732133506697
80,-31.0,7.82127,7.827218843845469
81,-32.0,7.82127,7.825793292614548
82,-33.0,7.81857,7.824448864529439
83,-34.0,7.81381,7.823179552725956
84,-35.0,7.81533,7.8219798932012035
85,-36.0,7.81362,7.820844907304248
86,-37.0,7.80589,7.819770051172796
87,-38.0,7.80592,7.8187511711785955
88,-39.0,7.80592,7.8177844645833945
89,-40.0,7.80592,7.816866444724011
90,-41.0,7.80592,7.815993910143171
91,-42.0,7.80592,7.815163917165572
92,-43.0,7.80446,7.814373755488589
93,-44.0,7.79824,7.813620926416393
94,-45.0,7.79825,7.81290312341666
95,-46.0,7.79198,7.812218214722032
96,-47.0,7.79057,7.811564227735145
97,-48.0,7.79057,7.810939335027513
98,-49.0,7.79057,7.810341841749419
